year,hurricane_count,avg_wind,max_wind,avg_pressure,min_pressure
1980,110,49.45722776480577,165.0,985.060707456979,890.0
1981,111,46.579593564775614,150.0,989.1358135365307,895.0
1982,117,48.54586046511628,140.0,985.9740704500979,895.0
1983,100,49.73996996352714,150.0,986.1726662599145,885.0
1984,118,47.78754578754579,155.0,988.8975167520694,880.0
1985,124,47.642169728783905,150.0,989.6477782307379,895.0
1986,111,50.62085308056872,150.0,986.7989374744585,900.0
1987,107,45.040724793684966,145.0,987.091697080292,890.0
1988,111,46.9871974394879,160.0,991.0323656990323,888.0
1989,131,46.07501103103397,140.0,988.4535550458716,905.0
1990,119,46.01361011822931,150.0,989.7016654598117,890.0
1991,99,47.73630470016207,150.0,986.2028050490884,895.0
1992,124,49.63804890875625,160.0,987.2879030413903,900.0
1993,101,43.47056957004601,140.0,989.0775833608452,905.0
1994,118,46.13523834606268,150.0,987.6065306122449,905.0
1995,99,45.328276699029125,155.0,988.1598295151838,910.0
1996,125,43.95948246510044,140.0,987.1351152525748,915.0
1997,112,46.69022265246854,160.0,985.946800308404,902.0
1998,109,47.10030298198055,155.0,987.7078557450377,900.0
1999,103,46.682641509433964,140.0,986.0127487562189,900.0
2000,113,46.75161619598503,155.0,989.5061823802164,905.0
2001,110,47.321976787719954,155.0,988.9834728033472,879.0
2002,103,50.21668884242539,155.0,986.8005930318755,879.0
2003,108,46.748402555910545,150.0,989.6892336624353,885.0
2004,105,52.17511214487456,155.0,985.4663171274229,879.0
2005,117,49.100032478077296,160.0,988.1840305392079,882.0
2006,102,47.6105969878425,155.0,988.6270433546553,879.0
2007,96,45.064988652774915,150.0,991.0661633220743,898.0
2008,102,44.2814468238258,140.0,992.4525277435265,918.0
2009,101,42.88044672281216,155.0,993.1230549096763,906.0
2010,88,44.87908208296558,160.0,991.7194244604317,903.0
2011,96,45.215701823949246,140.0,991.8296766743649,918.0
2012,95,48.228679381072325,155.0,989.7717013888889,907.0
2013,104,43.95929694727104,170.0,992.4706303724928,895.0
2014,91,47.350769801521054,155.0,990.3474331164136,907.0
2015,114,51.16866737577876,185.0,987.2621502209131,872.0
2016,99,50.78261682242991,170.0,989.8760240305844,895.0
2017,108,46.45075456711676,155.0,991.7817483189241,908.0
2018,119,50.57243963363864,155.0,989.335821908511,896.0
2019,112,47.20332601192344,165.0,991.8082170780316,888.0
2020,123,43.111301369863014,170.0,995.1996001332889,884.0
2021,108,43.52606554593309,170.0,994.018899204244,882.0
2022,114,43.09959096567668,145.0,993.8274782608696,911.0
2023,92,49.71628928692126,165.0,989.3843978709248,891.0
2024,105,45.61499340742136,155.0,991.4085121862496,895.0
2025,111,51.197641317608785,165.0,989.9336703741153,892.0
2026,22,52.72561768530559,138.0,988.3394018205462,920.0
